skill_type,name,alias_name,localized_name,base_value,S_A,B_C,D_E_F,G,affinity_role,is_evo,evo_parents
ius,Certain Victory,絶対は、ボクだ|It's Going to Be Me,Certain Victory,180.0,,,,,,0,
ius,Legacy of the Strong,最強の名を懸けて|For the Strongest Name,Legacy of the Strong,180.0,,,,,,0,
ius,Warning Shot!,波乱注意砲！,Warning Shot!,180.0,,,,,,0,
ius,Xceleration,アクセルX|Accelerator X,Xceleration,180.0,,,,,,0,
ius,Red Ace,レッドエース,Red Ace,180.0,,,,,,0,
ius,Focused Mind,精神一到|Desire to Win,Focused Mind,180.0,,,,,,0,
ius,Corazón ☆ Ardiente,熱血☆アミーゴ|Hot Blooded ☆ Amigo,Corazón ☆ Ardiente,180.0,,,,,,0,
ius,Empress's Pride,エンプレス・プライド|Empress・Pride,Empress's Pride,180.0,,,,,,0,
ius,1st Place Kiss☆,勝利のキッス☆|Victory Kiss ☆,1st Place Kiss☆,180.0,,,,,,0,
ius,Feel the Burn!,燃えろ筋肉！|Burning Muscles!,Feel the Burn!,180.0,,,,,,0,
ius,Introduction to Physiology,introduction：My body,Introduction to Physiology,180.0,,,,,,0,
ius,V Is for Victory!,全力Vサインッ！|Full Power V Sign!,V Is for Victory!,180.0,,,,,,0,
ius,Class Rep + Speed = Bakushin,学級委員長+速さ＝バクシン|Class President + Speed = Bakushin,Class Rep + Speed = Bakushin,180.0,,,,,,0,
ius,Clear Heart,クリアハート,Clear Heart,180.0,,,,,,0,
ius,Super-Duper Stoked,"ワクワクよーいドン|Ready, Steady, Go!",Super-Duper Stoked,180.0,,,,,,0,
ius,Luck Be with Me!,"来てください来てください！|Come, Come!",Luck Be with Me!,180.0,,,,,,0,
ius,"I Can Win Sometimes, Right?","アタシもたまには、ね？|You Know, Sometimes Even I Can...","I Can Win Sometimes, Right?",180.0,,,,,,0,
ius,Call Me King,Call me KING,Call Me King,180.0,,,,,,0,
ius,Shooting Star,シューティングスター,Shooting Star,180.0,,,,,,0,
ius,The View from the Lead Is Mine!,先頭の景色は譲らない…！|I'm Not Giving up the Lead!,The View from the Lead Is Mine!,180.0,,,,,,0,
ius,Sky-High Teio Step,究極テイオーステップ|Ultimate Teio Step,Sky-High Teio Step,180.0,,,,,,0,
ius,Red Shift/LP1211-M,紅焔ギア/LP1211-M|Red Flame Gear/LP1211-M,Red Shift/LP1211-M,180.0,,,,,,0,
