skill_type,name,alias_name,localized_name,base_value,S_A,B_C,D_E_F,G,affinity_role,is_evo,evo_parents
ius,¡Qué alegría!,,,180.0,,,,,,0,
ius,113転び114起き,"Fall Down 113 Times, Get Up 114",114th Time's the Charm,180.0,,,,,,0,
ius,Adventure of 564,,,180.0,,,,,,0,
ius,Bang☆ミラクるわせ！,Bang☆Miracle Maker!,,180.0,,,,,,0,
ius,Best day ever,Best Day Ever,Best Day Ever,180.0,,,,,,0,
ius,Billions of stars,Billions of Stars,,180.0,,,,,,0,
ius,Breezy Treat,,,180.0,,,,,,0,
ius,Celeste Oath,,,180.0,,,,,,0,
ius,CHERRY☆スクランブル,Cherry☆Scramble,,180.0,,,,,,0,
ius,Circulating Love♡,,,180.0,198.0,162.0,144.0,126.0,Late,0,
ius,Crystal Mist,,,180.0,198.0,162.0,144.0,126.0,End,0,
ius,Danser le présent,Danser le Présent,,180.0,,,,,,0,
ius,Ding Dong Boo,,,180.0,,,,,,0,
ius,Do Ya Breakin!,,Break It Down!,180.0,,,,,,0,
ius,Drain for rose,Drain for Rose,Every Rose Has Its Fangs,180.0,,,,,,0,
ius,Encounter With U,,,180.0,,,,,,0,
ius,Fairy tale,Fairy Tale,Fairy Tale,180.0,,,,,,0,
ius,Faith in the Feral,,,180.0,,,,,,0,
ius,Flowering Dreams,,,180.0,,,,,,0,
ius,ForWard March!,,,180.0,,,,,Dirt,0,
ius,…found you.,...found you.,,180.0,,,,,,0,
ius,G00 1stF∞,,,180.0,,,,,,0,
ius,GALmen.ふぉーえば♪,,,180.0,,,,,,0,
ius,GET DOWN,,Dancing in the Leaves,180.0,,,,,,0,
ius,GO! Full-send,,,180.0,,,,,,0,
ius,Go☆Go☆for it!,Go☆Go☆For It!,Go☆Go☆Goal!,180.0,,,,,,0,
ius,Guiding Sea,,,180.0,,,,,,0,
ius,Guten Appetit♪,,Guten Appetit ♪,180.0,,,,,,0,
ius,Have S’more LOVE!,,,180.0,198.0,162.0,144.0,126.0,Pace,0,
ius,Hephaistos,,,180.0,,,,,,0,
ius,HOP STEP♪LOCK ON!,,,180.0,,,,,,0,
ius,I’M☆FULL☆SPEED!!,I'M☆FULL☆SPEED!!,YUMMY☆SPEED!,180.0,,,,,,0,
ius,Illuminate you,Illuminate You,,180.0,,,,,,0,
ius,『I’m possible』,『I'm Possible』,,180.0,,,,,,0,
ius,Immortal Work,,,180.0,,,,,,0,
ius,I Never Goof Up!,,,180.0,,,,,,0,
ius,Info:Acquired,Info: Acquired,,180.0,,,,,,0,
ius,Into High Gear!,,,180.0,,,,,,0,
ius,jingle all the way,Jingle All the Way,,180.0,,,,,,0,
ius,Joy to the World,,,180.0,,,,,,0,
ius,Joyful Voyage!,,,180.0,,,,,,0,
ius,KEEP IT REAL.,,,180.0,,,,,,0,
ius,Lame de vent,Lame de Vent,,180.0,,,,,,0,
ius,LookatCurren,#LookatCurren,#LookatCurren,180.0,,,,,,0,
ius,Mission:Triumph,Mission: Triumph,,180.0,,,,,,0,
ius,Nemesis,,,180.0,,,,,,0,
ius,Never Say Never,,,180.0,,,,,,0,
ius,Oh!bento-magic☆,,,180.0,,,,,,0,
ius,One True Color,,,180.0,,,,,,0,
ius,Overdrive Speed,,,180.0,,,,,,0,
ius,Peerless Heroine,,,180.0,,,,,Turf,0,
ius,Presents from X,,,180.0,,,,,,0,
ius,Pride of KING,,Prideful King,180.0,,,,,,0,
ius,Punkish Bite,,,180.0,198.0,162.0,144.0,126.0,Front/Pace,0,
ius,Queen’s Lumination,Queen's Lumination,,180.0,,,,,,0,
ius,Queen’s Rebirth,Queen's Rebirth,,180.0,,,,,Turf,0,
ius,Ravissant,Ravissante,,180.0,,,,,,0,
ius,Reversal Illusion,,,180.0,,,,,,0,
ius,Road to Glory,,,180.0,,,,,,0,
ius,Romantic Horizon,,,180.0,,,,,,0,
ius,Schwarze Schwert,,,180.0,,,,,,0,
ius,Shadow Break,,,180.0,,,,,,0,
ius,Shining Runway,,,180.0,,,,,,0,
ius,Silent letter,Silent Letter,,180.0,,,,,,0,
ius,Silent Sunset Gold,,,180.0,,,,,,0,
ius,Spooky-Scary-Happy,,,180.0,,,,,,0,
